global_time,crystal,edep,x,y,z,slice_sect,time
 10927932099.88451,16,57.288,211.922,59.310,-226.262,50,46913083.898
 11928702677.41735,14,1026.837,73.001,-95.294,-230.697,24,368024592.651
 11928702677.41735,14,157.607,76.085,-83.083,-232.991,15,368024592.694
 11928702677.41735,14,148.556,74.726,-89.670,-225.264,14,368024592.728
 11928702677.41735,32,330.113,-132.594,-64.726,-216.949,24,368024592.659
 11928702677.41735,7,324.792,-134.162,-82.876,-249.815,44,368024592.784
 11928702677.41735,34,203.948,-120.108,-108.350,-257.925,44,368024592.885
 14219204363.59488,1,1117.166,66.994,94.670,-207.182,05,133183527.969
 14219204363.59488,32,211.819,-182.692,-64.278,-226.955,45,133183528.171
 14219204363.59488,32,743.561,-183.015,-64.698,-227.420,45,133183528.173
 14219204363.59488,32,216.620,-178.262,-65.242,-220.709,35,133183528.201
 14846101316.63636,19,625.947,158.299,125.927,-145.943,14,225268558.238
 14846101316.63636,19,488.347,153.552,163.428,-169.624,35,225268558.387
 14846101316.63636,19,218.707,170.305,143.410,-174.583,34,225268558.476
 14846101316.63636,2,27.259,135.831,108.960,-268.867,52,225268558.471
 14846101316.63636,18,76.844,126.459,201.216,-210.044,50,225268559.020
 14846101316.63636,18,29.947,126.712,198.304,-210.765,50,225268559.030
 14846101316.63636,18,85.264,127.004,199.834,-210.842,50,225268559.035
 15071369874.03920,23,1041.870,-57.315,219.551,-205.863,44,2875743.567
 15071369874.03920,23,82.045,-36.583,221.032,-200.193,45,2875743.639
 15071369874.03920,23,209.085,-24.231,225.785,-218.556,50,2875743.714
 15187590466.61368,3,476.267,-25.784,28.485,-267.037,24,738856.680
 15835793397.65028,34,295.951,-130.563,-83.963,-222.579,23,59781465.262
 15835793397.65028,34,252.564,-130.760,-84.153,-222.733,23,59781465.263
 15835793397.65028,34,481.469,-131.497,-89.619,-227.369,33,59781465.287
 16157917810.32292,7,550.805,-97.283,-67.395,-255.739,33,132637835.570
 16157917810.32292,7,366.470,-81.763,-81.315,-279.110,42,132637835.674
 16157917810.32292,7,83.442,-78.134,-87.088,-270.473,42,132637835.711
 16157917810.32292,7,171.283,-77.865,-87.270,-270.660,42,132637835.712
 16290555644.95255,3,1060.530,-35.484,44.704,-239.500,05,70611583.527
 16290555644.95255,3,89.021,-34.176,42.361,-238.664,05,70611583.537
 16290555644.95255,3,183.449,11.100,58.411,-253.924,22,70611583.705
 16807683993.50126,7,264.655,-72.998,-62.466,-226.612,02,150498945.231
 16807683993.50126,11,642.516,-78.144,-105.578,-274.362,45,150498945.447
 16807683993.50126,11,264.829,-72.860,-107.609,-269.167,45,150498945.472
 17299343416.83119,36,209.083,39.877,-175.087,-183.004,11,83127517.247
 17440320461.92942,14,423.230,90.874,-63.451,-259.222,30,92947716.632
 17440320461.92942,14,314.070,106.715,-83.129,-271.990,40,92947716.726
 17440320461.92942,44,162.151,167.339,-81.289,-264.633,53,92947716.930
 17854588082.94317,32,386.303,-135.779,-71.312,-189.290,05,30227690.573
 17854588082.94317,32,91.894,-150.419,-69.063,-195.374,15,30227690.626
 17854588082.94317,32,311.306,-176.409,-72.595,-220.158,35,30227690.746
 17854588082.94317,32,213.527,-181.825,-94.948,-227.295,45,30227690.827
 17854588082.94317,32,168.971,-181.780,-89.373,-215.402,45,30227690.870
 17884815772.70307,31,870.427,-178.537,-40.171,-151.872,00,7752700.958
 17884815772.70307,31,202.501,-192.586,-28.428,-147.502,04,7752701.021
 17884815772.70307,31,64.117,-195.968,-32.789,-142.057,04,7752701.047
 17884815772.70307,31,31.764,-218.810,-51.506,-157.144,21,7752701.157
 17884815772.70307,31,164.190,-217.445,-55.428,-163.127,30,7752701.182
 17884815772.70307,30,663.074,-164.183,-79.952,-156.497,00,7752700.967
 17884815772.70307,32,323.978,-160.211,-67.441,-193.890,25,7752701.099
 17884815772.70307,32,184.948,-159.134,-67.565,-192.263,15,7752701.105
 17892568472.86738,27,765.829,-188.757,86.572,-118.176,03,67286486.176
 17892568472.86738,27,339.976,-186.757,89.855,-130.331,03,67286486.218
 17892568472.86738,27,25.552,-188.871,88.445,-130.057,03,67286486.227
 17892568472.86738,27,73.164,-197.162,90.399,-125.961,13,67286486.258
 17959854958.24566,25,931.144,-143.496,204.385,-185.321,51,84113746.323
 17959854958.24566,25,240.856,-144.557,198.907,-183.945,41,84113746.342
 18067618255.55451,0,699.443,68.323,14.923,-239.629,12,49484259.249
 18067618255.55451,13,204.842,94.442,17.690,-241.246,22,49484259.336
 18067618255.55451,13,128.093,95.161,18.479,-246.448,22,49484259.354
 18067618255.55451,13,139.622,93.535,16.057,-243.622,22,49484259.368
 18117102513.97056,2,1076.064,96.820,79.300,-226.252,11,106597917.596
 18117102513.97056,2,26.576,98.379,47.780,-211.520,05,106597917.712
 18254220784.00562,32,960.655,-153.689,-51.305,-213.028,23,2194401.138
 18254220784.00562,32,211.345,-144.653,-51.590,-202.400,14,2194401.184
 18298887205.21207,7,846.234,-105.250,-49.870,-205.746,04,31150255.697
 18298887205.21207,7,192.117,-101.101,-47.287,-211.445,05,31150255.723
 18298887205.21207,7,19.661,-98.608,-49.235,-211.660,04,31150255.733
 18298887205.21207,7,118.449,-97.928,-49.465,-212.024,04,31150255.736
 18298887205.21207,7,19.746,-98.848,-44.543,-210.431,05,31150255.753
 18298887205.21207,7,136.793,-102.226,-43.055,-212.871,05,31150255.768
 18298887205.21207,27,898.819,-185.766,88.081,-162.448,25,31150255.781
 18298887205.21207,27,273.181,-172.200,89.247,-167.444,15,31150255.830
 18330037460.11931,13,675.885,122.929,11.496,-274.957,42,3756551.935
 18372816661.70248,34,418.108,-151.868,-115.924,-203.382,32,42136810.885
 18624937688.32124,23,93.852,-25.813,152.309,-194.111,11,25420560.519
 18624937688.32124,23,573.084,-20.723,172.089,-217.245,31,25420560.622
 18624937688.32124,1,128.989,23.857,139.179,-291.545,53,25420560.945
 18727385691.84232,0,34.244,52.038,8.459,-234.509,02,91866799.927
 18727385691.84232,0,925.557,57.819,12.439,-254.779,22,91866799.999
 18727385691.84232,0,15.512,56.187,12.099,-252.283,12,91866800.009
 18727385691.84232,0,9.967,50.365,4.113,-245.795,12,91866800.048
