cr,slice,sect,x,y,z,vol
10,1,2,22.74175,-94.73694,-234.07381,6457.00000
10,1,3,23.38800,-113.55535,-225.20075,6441.00000
10,1,4,3.86164,-125.32121,-219.98692,7124.00000
10,1,5,-17.85606,-115.69379,-224.94225,6940.00000
10,2,0,-18.68044,-101.55445,-246.52352,9814.00000
10,2,1,2.01270,-90.82932,-251.24277,10131.00000
10,2,2,23.40358,-100.15660,-246.44478,9690.00000
10,2,3,24.02228,-119.40819,-237.38961,9703.00000
10,2,4,4.07425,-131.48911,-232.03056,10718.00000
10,2,5,-18.12484,-121.62445,-237.07942,10440.00000
10,3,0,-19.85576,-107.70925,-261.51650,12575.00000
10,3,1,2.28212,-96.01496,-266.63309,13132.00000
10,3,2,24.92546,-106.21878,-261.41684,12240.00000
10,3,3,25.82309,-126.82924,-251.69728,12445.00000
10,3,4,4.40174,-139.81965,-245.94882,13692.00000
10,3,5,-19.18426,-129.20275,-251.36539,13177.00000
10,4,0,-20.11453,-114.47682,-277.30308,13444.00000
10,4,1,2.59123,-102.16229,-282.72613,14582.00000
10,4,2,25.51839,-112.91013,-277.27189,12830.00000
10,4,3,26.63193,-134.61849,-267.01436,13282.00000
10,4,4,4.69207,-147.99931,-261.10370,14896.00000
10,4,5,-19.33018,-137.06093,-266.66405,13924.00000
10,5,0,-19.89448,-121.44878,-292.96432,13588.00000
10,5,1,2.84782,-108.90559,-298.44268,15226.00000
10,5,2,25.76562,-119.87185,-292.93604,12867.00000
10,5,3,26.99987,-142.23236,-282.36166,13492.00000
10,5,4,4.91725,-155.68014,-276.39468,15370.00000
10,5,5,-19.07855,-144.71068,-281.99635,14057.00000
11,0,0,-47.00610,-91.29102,-219.59643,6312.00000
11,0,1,-47.21016,-107.59629,-211.86520,6431.00000
11,0,2,-63.50182,-114.17729,-203.67256,6425.00000
11,0,3,-78.99462,-103.51529,-203.87075,6418.00000
11,0,4,-78.90189,-86.30068,-212.02893,6447.00000
11,0,5,-63.05211,-80.56076,-219.63238,6304.00000
11,1,0,-46.81339,-94.64102,-230.77011,6498.00000
11,1,1,-46.97666,-114.16528,-221.52902,6582.00000
11,1,2,-66.48536,-122.00317,-211.73909,6607.00000
11,1,3,-85.06833,-109.21193,-211.97944,6575.00000
11,1,4,-85.00773,-88.55484,-221.73800,6611.00000
11,1,5,-66.01424,-81.78528,-230.83255,6553.00000
11,2,0,-50.03614,-99.97528,-242.78581,9830.00000
11,2,1,-50.20995,-119.99551,-233.30898,9913.00000
11,2,2,-70.09675,-127.97567,-223.33904,9904.00000
11,2,3,-89.12034,-114.87943,-223.58906,9904.00000
11,2,4,-89.04108,-93.73798,-233.55169,9948.00000
11,2,5,-69.68903,-86.83563,-242.85576,9820.00000
11,3,0,-52.97481,-105.99218,-257.56981,12624.00000
11,3,1,-53.14628,-127.52448,-247.37954,12691.00000
11,3,2,-74.46529,-136.13093,-236.68677,12778.00000
11,3,3,-94.95264,-122.02844,-236.94739,12757.00000
11,3,4,-94.67405,-99.34539,-247.70036,12667.00000
11,3,5,-74.05883,-91.81574,-257.68854,12698.00000
11,4,0,-56.97054,-112.59174,-272.94507,13637.00000
11,4,1,-57.15824,-135.12972,-262.26637,13632.00000
11,4,2,-79.02327,-144.15731,-251.22647,13999.00000
11,4,3,-100.58245,-129.38554,-251.45109,14094.00000
11,4,4,-99.98451,-105.94444,-262.68077,13520.00000
11,4,5,-78.62124,-97.85904,-273.13316,13875.00000
11,5,0,-61.53298,-119.26445,-288.05409,13851.00000
11,5,1,-61.72140,-142.47696,-277.06564,13774.00000
11,5,2,-83.53440,-151.66487,-265.93054,14555.00000
11,5,3,-105.64326,-136.49212,-266.17428,14685.00000
11,5,4,-104.90221,-112.94357,-277.51642,13628.00000
11,5,5,-82.98041,-104.59586,-288.27360,14181.00000
12,0,0,55.30091,-50.66217,-230.51980,6485.00000
12,0,1,40.00232,-62.58094,-230.59295,6593.00000
12,0,2,22.62575,-54.87823,-234.58814,6427.00000
12,0,3,20.99010,-37.02431,-238.15550,5882.00000
12,0,4,33.93299,-26.23835,-238.20843,6079.00000
12,0,5,51.86159,-32.05058,-234.46868,6508.00000
12,1,0,60.29944,-53.90026,-240.52490,6676.00000
12,1,1,41.95459,-68.18508,-240.60850,6775.00000
