crystal,edep,x,y,z,slice_sect,time
6,140.158,-97.324,8.770,-261.268,31,383746564.123
6,132.439,-91.307,8.978,-260.334,31,383746564.143
9,435.939,-19.559,-35.512,-235.377,03,383746563.961
12,341.901,18.740,-43.838,-287.856,43,383746564.179
12,131.380,17.791,-43.803,-289.892,43,383746564.187
12,16.203,21.433,-55.578,-297.482,42,383746564.235
38,840.575,-13.772,-169.907,-176.648,01,306889945.157
38,173.801,-4.112,-169.839,-177.692,00,306889945.189
38,46.671,-5.048,-169.292,-178.271,00,306889945.193
38,110.952,-5.283,-171.028,-177.956,00,306889945.199
25,516.864,-87.269,185.750,-148.170,14,142350755.324
25,589.435,-91.373,187.845,-149.274,14,142350755.340
25,74.432,-75.362,202.962,-161.540,24,142350755.424
25,4.822,-79.004,208.223,-157.064,24,142350755.450
25,147.447,-81.805,210.799,-149.813,24,142350755.477
35,914.633,-82.989,-133.589,-191.956,11,16652984.566
16,40.090,149.686,15.968,-186.813,03,4959283.677
