global_time,crystal,edep,x,y,z,slice_sect,time
 15447570081.82952,29,121.390,-170.718,10.008,-206.090,22,14376343.844
 15447570081.82952,29,166.139,-170.118,10.275,-206.139,22,14376343.846
 15447570081.82952,19,605.464,121.581,168.095,-126.328,01,14376343.743
 15447570081.82952,19,19.929,130.143,166.157,-134.033,11,14376343.782
 15447570081.82952,19,194.872,154.463,153.441,-167.762,25,14376343.927
 15447570081.82952,17,191.628,175.886,119.491,-164.883,24,14376344.062
 15447570081.82952,17,19.952,172.476,121.257,-162.820,24,14376344.076
 15447570081.82952,19,140.155,172.571,138.272,-156.002,24,14376344.137
 15461946424.76272,15,293.642,197.489,76.229,-153.598,21,198697968.559
 15660644392.44924,22,1086.687,24.541,169.011,-178.308,01,17854549.390
 15660644392.44924,22,0.288,24.745,168.296,-178.309,01,17854549.392
 15660644392.44924,14,49.687,108.027,-88.863,-193.994,02,17854550.295
 16239011544.17081,18,496.042,76.776,159.214,-160.439,01,431355987.531
 16239011544.17081,18,114.940,79.103,163.467,-160.760,01,431355987.548
 16239011544.17081,18,111.428,85.584,170.535,-165.188,11,431355987.583
 16239011544.17081,18,293.754,95.209,220.989,-185.097,43,431355987.767
 16895992451.68900,38,447.750,-4.380,-202.585,-197.659,30,151831819.931
 16895992451.68900,35,286.751,-73.418,-218.903,-193.569,44,151831820.274
 17937883859.15108,30,565.945,-156.253,-98.071,-180.695,11,277038578.107
 18379560038.31628,29,513.305,-154.136,39.600,-175.442,00,43751409.560
 18379560038.31628,29,517.001,-155.895,39.100,-175.940,00,43751409.567
 18379560038.31628,8,89.248,-141.753,33.182,-210.638,13,43751409.693
 18379560038.31628,28,29.131,-114.677,60.352,-209.061,14,43751409.821
 18379560038.31628,28,184.314,-114.597,61.606,-209.834,14,43751409.826
 18799099457.96880,22,170.318,21.076,181.711,-177.336,11,97861836.854
 18799099457.96880,22,751.708,8.879,207.851,-209.243,40,97861836.997
 18799099457.96880,21,108.542,20.616,211.978,-198.974,30,97861837.053
 18799099457.96880,21,4.636,20.318,214.020,-203.823,40,97861837.070
 18799099457.96880,22,86.850,7.973,214.776,-221.715,40,97861837.364
 19260567434.05886,40,865.786,76.053,-138.969,-187.282,00,100250512.938
 19260567434.05886,40,110.686,68.503,-140.513,-187.063,01,100250512.963
 19260567434.05886,40,66.356,68.751,-141.930,-185.837,01,100250512.970
 19260567434.05886,40,22.297,68.995,-142.165,-186.443,01,100250512.972
 19260567434.05886,40,27.088,74.887,-141.293,-185.213,00,100250512.992
 19260567434.05886,40,8.774,74.510,-141.034,-185.052,00,100250512.994
 19260567434.05886,40,71.012,75.414,-138.592,-183.027,00,100250513.005
 20197837577.90036,20,34.731,135.088,155.098,-235.656,51,210623789.291
 20197837577.90036,20,555.111,135.829,156.324,-237.061,51,210623789.298
 20708048146.34590,24,203.712,-110.695,142.640,-160.091,00,29806938.777
 20708048146.34590,26,56.518,-140.527,160.425,-218.680,45,29806939.004
 20708048146.34590,26,559.767,-154.527,162.999,-237.694,55,29806939.083
 20737855084.31759,40,182.816,78.385,-116.890,-190.511,05,7957052.882
 20745812136.40997,16,181.850,147.304,0.764,-185.426,03,33890019.017
 20745812136.40997,16,91.253,146.178,0.212,-186.864,03,33890019.023
 20745812136.40997,16,144.884,150.897,-2.757,-186.371,02,33890019.042
 20779702154.62458,12,866.644,52.800,-41.856,-246.455,10,39175228.940
 20779702154.62458,10,23.282,10.889,-73.131,-236.590,11,39175229.118
 20957773393.28050,8,1106.924,-98.749,-9.060,-215.268,00,14467557.334
 21121088215.89286,4,184.619,-59.991,88.602,-244.820,20,59675866.278
 21121088215.89286,4,563.652,-60.997,88.554,-246.981,20,59675866.286
 21121088215.89286,4,170.246,-77.863,109.053,-247.748,35,59675866.374
 21121088215.89286,4,77.041,-77.519,109.473,-248.103,35,59675866.376
 21121088215.89286,4,57.296,-77.289,108.959,-248.639,35,59675866.379
 21121088215.89286,4,119.146,-73.727,108.304,-243.868,35,59675866.399
 21180764081.27934,14,157.147,94.993,-95.209,-248.214,34,179818025.253
 21360582105.58940,44,848.851,182.920,-52.016,-195.542,20,29586668.525
 21360582105.58940,44,119.615,185.974,-59.601,-188.544,20,29586668.561
 21360582105.58940,44,68.381,185.833,-59.399,-188.208,20,29586668.563
 21360582105.58940,44,33.162,185.346,-59.066,-188.812,20,29586668.566
 21360582105.58940,44,101.992,194.824,-56.913,-186.579,30,29586668.599
 21980134838.31598,14,104.483,139.096,-103.066,-261.830,52,84960892.248
 22075262194.38175,17,841.234,160.641,67.999,-163.805,00,52778369.113
 22075262194.38175,17,149.482,158.255,118.255,-169.397,24,52778369.282
 22075262194.38175,19,196.468,172.422,132.762,-160.079,24,52778369.357
 22075262194.38175,17,145.816,162.147,122.036,-169.813,24,52778369.416
 22128040562.69600,33,560.279,-136.748,-132.540,-162.672,15,4742860.518
 22128040562.69600,30,243.175,-169.908,-125.244,-186.926,32,4742860.657
 22128040562.69600,32,9.819,-188.044,-69.713,-239.388,55,4742860.919
 22128040562.69600,32,153.435,-188.643,-68.597,-240.903,55,4742860.926
 22128040562.69600,32,198.616,-185.707,-65.899,-243.834,54,4742860.942
