edep,crystal,slice_sect,num_of_int
111.856,15,51,3
920.525,149,35,1
160.955,112,33,1
6.554,112,31,1
191.966,112,41,3
456.139,103,0,1
1003.545,102,50,1
45.804,102,51,2
174.512,102,41,1
416.009,160,20,1
210.992,161,30,1
76.925,159,30,1
176.074,28,4,1
344.53,117,5,1
577.023,114,33,1
878.649,67,34,1
80.0,9,2,1
446.899,60,22,1
110.747,60,21,1
100.337,60,45,1
222.017,60,50,4
1149.5680000000002,16,0,4
130.43099999999998,16,1,3
15.564,16,0,1
82.053,16,1,2
1028.296,64,40,1
275.619,64,41,2
376.086,64,51,3
75.052,17,1,1
96.326,149,4,1
783.674,149,51,2
1280.001,134,2,6
202.359,63,34,1
627.907,63,44,1
247.165,63,54,1
480.0,40,30,2
509.381,37,1,1
370.619,37,11,3
1280.0,49,32,2
70.281,124,1,1
479.999,118,22,3
1216.691,141,20,1
193.402,141,22,2
22.221,141,32,1
54.757,103,52,1
80.0,72,1,1
238.331,56,34,2
574.394,110,13,1
95.556,110,14,1
10.849,110,24,2
199.20100000000002,110,34,2
358.818,134,23,1
429.829,134,33,1
80.0,163,4,1
69.494,37,4,1
53.435,44,12,1
33.573,44,1,1
127.947,19,45,1
675.978,39,0,1
35.189,146,53,1
1071.367,80,5,1
184.213,145,30,1
937.662,99,20,1
522.472,101,35,2
219.865,101,20,1
80.0,108,2,1
18.128,100,15,1
275.286,100,25,2
186.586,100,34,1
622.12,7,0,1
58.208,7,5,1
39.052,8,11,1
160.621,8,21,2
73.789,122,2,1
977.255,122,22,1
228.956,122,12,2
460.505,139,30,1
80.0,43,3,1
7.785,126,2,1
214.015,126,32,3
258.2,126,41,1
568.29,42,21,1
39.387,42,15,1
61.12,42,25,1
211.203,87,32,1
356.545,154,10,1
1151.51,154,20,2
171.945,154,30,2
70.253,142,53,1
480.0,41,5,3
451.281,155,11,1
29.397,155,20,1
167.541,155,30,1
241.656,131,21,1
910.063,163,21,1
179.65,90,41,1
340.426,90,51,2
46.778,92,35,2
170.065,92,44,1
80.0,162,4,1
117.633,87,15,2
4.64,87,25,1
357.726,87,43,3
301.964,40,0,1
151.667,40,11,1
70.348,40,21,2
885.251,162,1,2
70.689,161,24,1
324.06,157,5,1
1680.0,155,32,4
80.0,92,5,1
275.987,154,15,1
11.822,155,1,1
77.453,41,4,1
624.892,37,4,1
34.09,82,1,1
111.396,146,24,1
461.293,26,23,1
290.317,4,55,1
480.0,11,2,2
23.127,58,54,1
1280.0,86,43,1
181.03,104,3,1
101.898,104,11,1
197.072,102,20,1
487.764,118,54,2
792.933,75,20,1
334.839,75,31,2
7.237,75,21,1
144.991,75,22,1
1149.549,147,33,1
459.235,112,40,1
75.847,90,32,1
299.049,95,41,1
392.061,92,53,1
64.539,95,22,1
124.352,95,24,1
291.147,72,31,1
1056.4569999999999,160,35,2
153.0,160,45,2
80.0,86,3,2
480.00000000000006,62,35,4
615.679,121,14,1
664.321,121,30,4
1084.499,83,2,1
93.651,83,1,1
50.175,83,11,1
451.676,83,31,1
80.0,26,4,1
80.0,2,4,1
301.751,130,22,1
24.834,159,11,1
54.028999999999996,161,5,2
99.386,86,2,1
326.206,72,22,1
363.111,72,31,1
190.682,72,32,2
69.735,110,11,1
80.0,10,2,1
313.46500000000003,18,14,2
538.404,109,2,2
341.596,109,22,3
1280.0009999999997,122,35,9
290.384,142,2,1
310.554,144,11,1
49.53,146,10,1
171.561,146,30,1
80.0,100,5,1
59.232,5,2,1
420.768,5,12,1
255.579,47,43,1
158.233,151,50,1
1457.976,104,22,1
76.466,104,12,1
145.558,104,3,2
80.0,3,10,1
1037.396,59,43,1
9.94,59,42,1
232.663,59,31,3
1460.7769999999998,37,35,3
219.223,37,30,2
170.386,37,35,1
80.0,17,1,1
7.123,22,13,1
102.108,22,53,1
202.712,79,41,1
1280.0,46,23,6
80.0,47,0,1
286.258,118,5,1
125.792,86,0,2
67.95,86,10,1
122.666,86,0,1
1031.315,109,14,1
248.685,109,3,2
80.0,33,3,1
480.0,53,1,2
239.617,72,2,1
161.469,70,21,2
271.783,70,31,1
25.216,69,25,2
181.915,69,5,1
80.0,111,0,1
306.161,36,25,2
124.473,36,1,3
533.927,159,21,1
68.481,159,20,1
277.591,159,24,2
80.0,132,0,1
480.0,150,5,2
405.568,93,0,1
28.728,95,25,1
246.014,95,24,1
199.69,124,2,2
329.76599999999996,53,52,2
430.692,153,52,1
80.0,160,1,1
634.168,13,34,2
68.731,13,13,3
177.101,13,12,1
1680.0,44,20,1
80.0,138,3,1
480.0,120,20,2
228.089,29,15,1
46.223,27,31,1
841.874,102,10,1
154.184,141,23,1
143.047,108,14,1
80.0,114,2,1
352.058,162,30,2
527.943,162,35,2
454.133,143,42,1
111.634,21,53,1
480.0,127,2,3
1102.631,163,4,1
29.267,119,0,2
73.061,119,10,1
21.595,119,0,1
75.041,119,11,1
630.062,97,12,2
80.0,140,0,1
388.073,141,32,5
112.58,141,42,1
729.108,84,31,1
364.06399999999996,84,30,3
186.82800000000003,84,40,3
108.869,84,30,1
80.0,113,2,1
1.82,65,1,1
119.897,77,0,1
815.708,77,21,1
110.66,120,23,1
208.381,126,43,1
160.959,126,44,1
14.042,27,12,1
253.688,27,21,1
612.271,27,31,2
38.812,152,4,1
170.324,148,23,1
1498.029,144,30,2
50.009,144,20,1
131.962,145,30,1
80.0,55,1,1
284.189,72,10,1
400.624,72,20,1
195.188,72,15,2
645.001,18,40,1
1343.672,112,1,1
37.268,112,2,1
192.69,149,4,3
80.0,152,1,1
480.0,27,34,1
462.545,90,32,1
178.709,90,41,2
885.276,16,4,1
549.285,13,24,3
245.438,13,33,1
80.0,48,2,1
429.16700000000003,138,40,4
50.832,138,30,1
143.618,138,40,3
101.291,97,50,1
247.286,128,30,1
306.366,128,40,1
470.72200000000004,126,51,2
80.0,36,1,1
74.451,82,11,1
143.227,82,22,1
262.323,82,31,5
537.036,149,10,1
101.055,147,10,1
241.909,149,45,1
1297.803,78,54,1
382.197,81,53,3
80.0,84,1,1
106.608,152,2,2
373.39099999999996,151,25,5
480.0,84,15,5
612.427,157,21,2
267.572,157,31,3
1044.493,144,41,1
636.006,5,14,1
80.0,38,2,1
78.118,107,1,1
168.287,107,32,2
44.582,107,22,1
133.44400000000002,107,21,2
632.955,150,12,1
197.547,150,21,1
80.0,97,2,1
139.765,148,35,1
341.874,56,20,2
138.126,56,10,1
135.213,17,3,1
678.9250000000001,17,52,3
65.863,17,51,2
157.178,17,52,1
284.70000000000005,99,13,2
1474.4980000000003,81,43,3
3.273,39,33,1
73.364,39,40,1
12.873,39,35,1
115.992,39,44,2
480.0,65,12,3
1053.666,160,2,1
226.334,61,22,2
295.968,84,3,1
315.832,79,4,1
384.074,79,20,1
180.094,79,0,1
869.765,87,30,1
80.0,51,3,1
108.683,76,21,1
521.88,35,12,1
358.12,35,23,1
503.653,128,35,1
555.503,128,45,1
220.845,23,25,2
333.025,72,25,1
1082.551,72,24,3
137.442,72,43,1
80.0,158,0,1
52.182,139,0,1
427.818,139,20,2
694.049,145,4,2
136.086,98,4,2
1118.934,152,10,3
161.065,150,20,1
726.894,137,3,1
261.534,137,13,1
449.21,163,15,1
242.36200000000002,163,5,3
46.814,104,0,2
31.347,103,5,1
252.914,113,2,1
227.08599999999998,113,3,2
32.261,102,35,1
847.738,102,45,5
1280.0,142,1,3
1182.465,70,32,1
497.53499999999997,70,41,2
80.0,53,0,1
675.482,6,35,2
46.903999999999996,6,32,2
40.927,6,43,1
116.687,6,33,1
208.894,35,0,1
427.306,35,20,2
288.908,0,20,2
188.89499999999998,0,30,2
80.0,82,2,1
233.106,100,2,2
546.855,55,21,1
198.12900000000002,55,24,2
135.01500000000001,55,23,2
100.693,55,24,1
373.476,30,5,1
510.138,30,15,1
155.157,30,10,1
241.229,61,1,2
822.742,107,20,1
403.004,107,30,1
36.932,107,34,1
417.32199999999995,61,44,4
80.0,139,1,1
117.131,140,35,2
32.679,140,50,1
215.805,140,51,2
322.526,5,44,1
13.908,5,53,1
80.0,36,3,1
320.762,38,4,1
159.238,105,2,1
426.386,87,0,2
302.29,88,10,3
151.324,88,4,1
591.237,83,12,1
80.0,102,2,1
199.289,84,14,1
80.0,40,3,1
480.0,153,3,2
131.713,117,4,1
553.206,61,22,1
86.326,61,32,1
432.906,61,51,1
207.563,61,41,2
80.0,145,4,1
271.159,26,21,1
208.841,26,10,1
628.326,82,12,1
